avgTemp,minTemp,maxTemp,rainfall,price
19.5,16.7,24.2,51.1,6912.0
18.6,14.4,24.3,0.0,6759.0
18.4,14.8,22.8,9.3,6657.0
17.4,14.0,21.5,23.6,6657.0
12.8,8.8,17.8,0.0,6657.0
13.3,8.4,19.1,0.0,6470.0
14.5,10.2,20.6,0.0,6047.0
15.1,10.8,21.2,0.0,5738.0
14.5,10.6,20.2,0.0,5340.0
15.2,9.2,23.1,0.0,5107.0
16.7,10.6,24.3,0.0,5107.0
16.0,13.9,18.5,18.5,5107.0
17.7,14.0,23.2,0.3,4753.0
16.3,12.0,22.4,0.0,4685.0
16.8,12.6,23.3,0.0,4481.0
16.8,11.7,22.7,0.1,4241.0
16.6,14.9,18.8,0.4,4179.0
16.8,13.6,21.0,0.4,4179.0
14.4,11.4,17.6,2.3,4179.0
14.2,9.5,19.4,0.0,4011.0
14.6,11.3,19.1,13.7,3911.0
13.8,10.0,18.3,0.0,3792.0
14.5,9.1,19.2,0.0,3723.0
14.1,12.1,16.5,5.6,3592.0
10.6,7.1,14.0,0.7,3592.0
8.1,2.9,15.1,0.0,3592.0
8.3,4.4,11.6,0.3,3552.0
4.6,0.4,9.7,0.0,3419.0
5.3,-1.2,11.8,0.1,3422.0
8.1,2.9,14.7,0.1,3233.0
10.2,3.5,17.4,0.0,3218.0
13.2,7.6,19.8,0.2,3218.0
12.6,8.9,16.5,1.6,3218.0
13.1,9.4,17.8,1.5,3270.0
8.2,3.1,12.7,1.7,3255.0
4.3,-0.7,10.5,0.0,3281.0
7.3,2.8,12.0,3.1,3233.0
9.3,4.5,15.2,0.9,3263.0
10.0,2.9,18.2,0.0,3263.0
12.6,6.9,18.3,3.0,3263.0
14.3,10.2,18.7,2.3,3435.0
9.5,3.4,15.2,0.0,3567.0
6.6,0.3,14.3,0.0,3561.0
8.7,3.3,16.1,0.0,3440.0
10.0,3.6,15.6,12.8,3630.0
13.4,10.6,16.7,1.2,3630.0
12.2,7.3,17.6,0.0,3630.0
10.3,6.1,14.2,0.1,3709.0
6.3,2.5,10.9,0.9,3790.0
3.1,-0.5,7.6,0.1,3762.0
0.7,-3.0,5.5,0.0,3712.0
1.9,-2.8,8.1,0.0,3725.0
1.2,-2.6,4.3,2.4,3725.0
4.1,1.0,8.5,0.1,3725.0
3.8,-0.2,8.4,0.0,3725.0
3.1,-2.3,10.0,0.2,3725.0
6.2,1.2,10.7,2.5,3838.0
6.5,0.8,10.8,0.1,3927.0
3.0,-2.6,10.0,0.0,3927.0
4.0,-2.6,12.1,0.0,3927.0
5.3,1.1,10.2,0.0,3927.0
7.9,2.5,13.8,0.1,3951.0
1.8,-2.9,6.7,0.0,3959.0
1.6,-4.2,7.6,0.1,3978.0
3.6,-2.5,9.7,1.3,4057.0
4.6,-0.5,8.9,1.3,4111.0
0.8,-3.9,7.1,0.0,4111.0
0.1,-5.7,7.8,0.0,4111.0
3.9,-2.8,10.1,0.2,4044.0
5.4,1.4,9.9,0.3,4077.0
1.6,-1.0,4.7,2.5,4058.0
-0.8,-4.2,2.7,0.1,4077.0
-1.8,-6.9,2.9,0.0,4093.0
3.4,-2.2,10.1,0.0,4093.0
4.4,-1.1,10.6,0.1,4093.0
7.2,3.4,10.5,4.9,4089.0
7.3,3.3,13.0,0.0,4119.0
8.7,3.0,13.7,24.2,4145.0
8.4,4.4,15.3,14.4,4169.0
1.7,-0.3,4.7,0.6,4163.0
0.5,-2.3,4.0,0.0,4163.0
2.9,-2.9,9.0,0.1,4163.0
4.6,2.9,6.2,10.3,4206.0
1.2,-3.2,4.5,2.1,4226.0
-1.4,-6.5,4.8,0.0,4200.0
-1.3,-4.5,2.1,0.2,4224.0
-1.4,-7.0,4.6,0.0,4219.0
1.7,-2.9,7.1,0.0,4219.0
3.2,-1.5,9.6,0.0,4219.0
5.5,0.4,11.3,0.0,4382.0
3.6,-0.9,9.8,0.0,4355.0
3.8,-1.3,10.6,0.0,4380.0
4.3,-0.7,8.5,2.0,4379.0
5.2,0.8,10.5,0.1,4354.0
4.0,-1.4,9.5,0.1,4354.0
7.2,3.9,11.9,1.6,4354.0
4.4,-0.5,8.1,0.1,4279.0
0.4,-2.9,4.7,0.0,4279.0
-1.7,-6.2,2.8,0.0,4279.0
0.7,-3.7,5.6,0.2,4279.0
-2.2,-5.9,2.8,0.3,4108.0
-5.0,-7.8,-1.8,0.0,4108.0
-4.8,-10.6,1.6,0.0,4108.0
-3.0,-8.8,4.4,0.0,4108.0
-1.7,-7.8,5.8,0.0,4108.0
0.5,-4.5,5.9,0.0,4092.0
0.1,-5.0,6.8,0.0,4092.0
-1.7,-5.4,1.4,3.3,4092.0
-2.6,-8.1,2.0,0.6,4092.0
-3.7,-6.9,0.1,0.6,4092.0
-5.9,-9.9,-1.1,0.1,4019.0
-4.7,-10.1,1.5,0.0,3987.0
-3.7,-9.7,3.3,0.0,3987.0
-0.9,-9.1,6.8,0.1,3987.0
1.5,-3.7,6.6,1.2,3987.0
0.5,-7.3,8.3,0.0,3987.0
3.3,1.0,5.7,3.9,3987.0
-1.0,-5.5,3.2,1.1,3987.0
-2.9,-8.7,3.7,0.0,4008.0
-1.2,-5.4,4.2,0.0,3980.0
-0.9,-7.5,6.1,0.0,3990.0
1.8,-3.8,8.6,0.0,3990.0
4.1,-2.3,9.9,0.8,3990.0
4.2,1.8,7.5,1.1,3990.0
0.8,-2.6,4.7,0.0,3990.0
0.1,-4.7,6.3,0.0,4001.0
0.8,-3.6,5.3,0.0,4001.0
-2.1,-5.0,1.2,0.1,4010.0
-4.1,-6.8,-0.5,0.6,4010.0
-2.8,-7.5,1.8,0.1,4010.0
-0.7,-6.1,5.4,0.0,4010.0
1.0,-5.9,7.3,0.3,4038.0
1.5,-3.4,7.6,0.0,4010.0
2.4,-5.3,11.0,0.0,4010.0
7.1,-2.8,14.5,1.4,4010.0
5.6,-1.0,12.0,1.7,4010.0
0.0,-4.6,5.1,0.0,4010.0
3.4,-5.0,10.0,2.0,4010.0
2.9,-3.0,9.6,5.4,4010.0
0.8,-6.2,7.9,0.0,4010.0
3.6,0.3,5.9,16.1,4010.0
1.4,-2.0,5.0,0.0,4010.0
0.6,-4.7,6.1,0.0,4010.0
3.1,-2.6,9.2,0.0,4010.0
3.4,-2.0,10.0,0.0,4010.0
3.6,-2.5,11.1,0.1,4010.0
4.8,-2.5,13.0,0.0,4018.0
6.2,0.7,12.7,2.1,4018.0
3.2,-0.7,6.9,2.0,4018.0
3.9,-3.2,11.7,0.0,4002.0
5.6,-1.0,13.7,0.0,4002.0
6.2,-0.3,13.8,0.2,4002.0
2.9,-1.1,7.0,0.3,4002.0
0.1,-3.2,4.4,0.5,4002.0
1.4,-3.8,6.3,0.0,4002.0
5.0,-1.6,11.3,0.0,4002.0
5.4,-1.3,12.7,0.0,4002.0
6.5,-2.2,15.8,0.0,4002.0
8.5,0.2,16.4,0.0,4002.0
7.9,2.7,13.7,0.0,4002.0
5.5,0.6,11.4,0.6,4089.0
4.8,-1.8,12.2,0.0,4089.0
5.6,-1.4,13.1,0.0,3986.0
6.9,-1.2,15.5,0.0,3986.0
8.4,2.3,16.8,0.0,3986.0
9.1,0.7,17.9,0.0,3986.0
8.3,2.1,13.6,2.8,3942.0
7.1,2.4,12.5,1.5,3942.0
6.9,-0.6,14.0,0.0,3942.0
8.7,3.8,15.1,0.1,3942.0
7.8,2.3,13.3,0.0,3938.0
6.4,4.0,9.7,6.0,3938.0
6.2,2.8,10.8,1.2,3938.0
6.0,2.4,10.8,1.3,3930.0
7.3,0.7,13.6,0.7,3953.0
8.5,4.0,14.0,1.1,3917.0
10.5,2.8,18.4,0.0,3927.0
8.7,6.2,12.1,3.8,3918.0
7.5,4.1,12.3,3.4,3918.0
8.2,1.7,15.1,0.0,3918.0
11.5,2.9,20.2,0.0,3918.0
13.4,4.1,21.9,0.0,3918.0
13.3,10.2,16.2,17.7,3895.0
13.6,10.5,17.1,9.8,3881.0
14.2,8.5,21.9,0.0,3881.0
14.9,8.1,23.1,0.0,3881.0
13.4,9.2,18.2,0.6,3881.0
13.4,8.3,19.5,0.1,3881.0
12.2,8.4,18.2,10.8,3881.0
12.3,7.2,17.7,0.0,3803.0
13.1,4.6,20.3,0.0,3830.0
14.7,8.5,20.5,0.9,3790.0
17.6,11.3,24.8,0.1,3790.0
17.8,10.3,26.6,0.0,3790.0
13.6,10.8,17.2,15.3,3829.0
13.3,8.6,20.1,3.1,3714.0
13.3,7.4,19.4,0.0,3701.0
12.4,8.9,17.6,0.9,3648.0
13.0,7.1,19.9,0.0,3681.0
13.0,7.0,20.0,0.1,3681.0
14.0,6.0,21.8,0.0,3681.0
15.0,6.4,22.5,0.0,3612.0
16.9,11.0,22.4,0.8,3607.0
14.9,10.1,20.1,1.2,3601.0
13.0,6.4,19.3,0.0,3627.0
15.1,6.2,23.3,0.0,3649.0
17.1,8.2,25.0,0.0,3649.0
19.8,11.9,27.7,0.0,3649.0
17.8,11.3,25.4,0.0,3649.0
16.9,9.4,24.7,0.0,2987.0
18.3,9.5,27.2,0.0,2987.0
19.1,11.3,26.4,0.3,2809.0
19.8,15.6,25.1,3.7,2809.0
16.7,11.1,22.6,0.0,2809.0
17.3,9.2,24.7,0.0,2809.0
18.2,10.3,24.9,0.0,2807.0
14.9,12.9,19.1,11.2,2807.0
15.5,12.6,19.7,1.1,2782.0
18.9,12.3,25.8,0.3,2171.0
18.0,14.4,21.8,1.7,2163.0
17.5,12.3,24.5,2.9,2163.0
16.7,11.3,22.7,0.0,2163.0
16.0,10.2,21.7,0.0,2127.0
16.5,11.1,22.2,0.0,2096.0
17.4,11.0,24.7,0.7,2133.0
19.7,11.5,27.4,0.0,2060.0
21.5,13.5,29.5,0.0,2005.0
21.0,13.8,28.4,0.0,2005.0
20.7,13.8,27.9,0.0,2005.0
20.2,13.1,27.3,0.0,1974.0
19.6,13.7,25.5,1.4,1974.0
19.8,16.0,25.4,3.6,1974.0
19.6,13.2,27.8,0.0,2087.0
16.1,10.9,21.7,0.0,2096.0
17.5,9.8,25.1,0.0,2096.0
20.6,11.8,28.3,0.0,2096.0
23.4,16.6,30.6,0.0,2093.0
23.1,16.2,30.4,0.0,2086.0
21.6,16.5,27.9,2.5,2105.0
21.0,16.2,27.3,2.6,2004.0
19.0,12.3,25.6,0.1,1995.0
19.3,14.2,25.3,0.2,1995.0
19.5,11.5,27.0,0.2,1995.0
20.3,13.0,27.6,0.0,2010.0
17.8,14.5,21.7,10.7,2010.0
18.4,15.9,21.2,5.5,2050.0
20.5,15.9,26.4,0.0,2181.0
22.0,15.5,28.6,0.4,2272.0
21.2,16.6,26.6,0.4,2272.0
20.4,14.2,27.1,0.9,2272.0
19.5,14.7,24.8,0.0,2289.0
19.2,14.7,25.4,2.1,2283.0
20.7,14.4,27.2,0.0,2275.0
22.6,16.0,29.8,0.0,2255.0
22.2,16.4,28.7,0.0,2247.0
22.4,16.3,29.3,0.0,2247.0
23.4,16.3,31.2,0.0,2247.0
24.2,17.1,31.7,0.0,2251.0
23.2,18.1,28.7,2.1,2247.0
23.4,18.7,29.1,0.3,2252.0
23.9,18.2,30.3,0.0,2267.0
24.7,18.6,31.5,0.0,2259.0
23.2,19.3,29.0,2.5,2259.0
22.7,19.1,28.2,10.4,2259.0
22.2,19.6,26.8,12.4,2285.0
23.1,19.7,28.1,3.0,2284.0
24.2,19.8,29.9,1.5,2256.0
23.9,20.4,28.6,5.2,2301.0
25.3,20.8,30.4,0.3,2285.0
25.3,22.6,29.0,4.0,2285.0
25.6,23.3,28.8,23.3,2285.0
25.6,23.5,29.1,29.4,2356.0
25.4,22.9,29.8,20.7,2394.0
26.0,22.5,31.2,1.7,2482.0
25.4,22.0,30.5,15.0,2594.0
26.0,22.9,29.1,4.4,2570.0
25.6,23.4,28.6,24.4,2570.0
27.0,23.4,32.0,9.6,2570.0
26.1,24.1,28.5,26.7,2539.0
26.5,23.2,30.7,4.8,2588.0
27.2,23.1,32.6,0.0,2810.0
27.1,22.2,33.0,0.0,3051.0
26.8,22.9,33.2,9.8,3199.0
25.5,23.1,28.4,20.7,3199.0
26.7,23.7,30.4,25.1,3199.0
26.4,23.4,30.6,6.2,3414.0
26.0,23.1,30.0,3.4,3709.0
27.4,23.5,32.8,0.0,3879.0
28.4,23.8,33.6,0.0,4052.0
29.4,25.5,34.1,0.7,4217.0
27.8,24.8,32.2,4.6,4217.0
26.8,24.4,29.5,13.2,4217.0
27.1,24.9,31.2,10.0,4381.0
26.8,23.9,31.0,10.7,4891.0
26.0,21.7,30.8,0.0,5055.0
25.5,20.4,31.1,0.3,5376.0
26.0,22.2,30.2,11.3,5293.0
25.4,23.4,28.5,7.4,5293.0
26.1,23.0,30.6,0.8,5293.0
24.8,23.1,27.0,19.9,5274.0
26.6,22.9,31.9,2.2,5481.0
27.2,23.8,32.0,0.4,5409.0
27.2,23.1,31.9,0.0,5438.0
28.5,23.5,33.9,0.0,5401.0
29.6,24.7,35.1,0.6,5401.0
29.4,25.1,34.8,1.7,5401.0
28.5,24.8,33.8,1.6,5478.0
27.4,23.5,32.3,0.4,5420.0
25.6,23.5,28.4,11.6,5329.0
25.6,23.4,29.1,15.7,5273.0
25.8,22.3,31.2,8.8,5426.0
25.6,21.8,30.3,0.8,5426.0
24.1,21.4,26.8,3.1,5426.0
22.9,21.4,25.1,42.9,5450.0
23.2,21.6,25.2,29.1,5450.0
24.6,22.0,28.3,6.4,5781.0
24.5,21.8,28.7,5.3,5924.0
25.0,21.7,29.9,6.0,6024.0
24.9,21.9,29.1,8.1,6024.0
24.7,22.7,27.8,24.6,6024.0
25.4,23.0,29.4,26.0,6535.0
26.7,23.4,31.6,8.2,6576.0
27.8,24.4,32.0,10.6,6677.0
28.0,24.7,31.6,14.4,6743.0
25.9,21.2,31.3,3.0,6600.0
23.2,17.9,29.6,0.0,6600.0
22.4,16.6,28.6,0.0,6600.0
23.7,18.3,28.8,8.4,6768.0
22.3,18.2,26.9,1.1,6800.0
19.7,16.6,24.0,0.0,6868.0
21.1,15.5,27.3,0.0,6875.0
21.3,16.0,27.6,0.0,6958.0
20.7,15.3,26.5,0.0,6958.0
21.3,15.3,27.8,0.0,6958.0
21.9,17.0,27.7,0.0,7125.0
20.7,18.1,23.4,1.6,6741.0
20.9,18.5,23.9,15.4,6928.0
21.4,17.8,26.9,1.2,6775.0
22.4,17.7,28.8,0.0,6770.0
22.2,17.4,28.8,0.0,6770.0
22.4,18.0,27.4,0.2,6770.0
20.6,18.2,23.6,46.6,6740.0
21.8,17.1,27.8,0.0,6804.0
20.1,14.4,27.2,0.0,6686.0
20.3,13.6,27.2,0.0,6655.0
20.6,16.5,25.3,0.0,6472.0
20.5,16.1,24.8,0.1,6472.0
21.1,17.0,26.1,1.8,6472.0
20.7,15.2,27.2,0.0,6423.0
21.9,16.5,27.3,3.5,6316.0
19.7,14.0,24.5,0.4,6288.0
18.2,11.8,25.7,0.0,6281.0
19.3,14.0,26.5,0.0,6209.0
19.9,14.9,26.3,0.0,6209.0
21.1,16.0,27.6,0.0,6209.0
21.8,16.9,28.5,0.0,6174.0
22.3,16.9,28.3,0.0,6190.0
19.4,17.3,22.6,21.0,6184.0
19.7,15.0,25.1,0.2,6026.0
15.8,10.3,21.8,0.0,5969.0
17.3,9.9,25.9,0.0,5969.0
16.6,12.9,20.3,21.2,5969.0
19.9,16.5,24.6,15.0,5969.0
18.1,14.9,23.1,0.6,5969.0
17.1,13.0,22.3,0.1,5969.0
16.8,13.0,21.0,1.1,5969.0
16.5,13.9,19.0,8.4,5969.0
19.4,15.9,24.6,0.1,5969.0
20.4,16.3,26.5,0.0,5969.0
20.9,16.4,27.1,0.0,5969.0
20.9,16.8,26.6,1.5,5754.0
17.7,14.6,21.8,6.3,5403.0
13.1,10.6,15.5,9.3,4986.0
13.0,7.7,19.2,0.0,4638.0
14.1,8.9,20.3,0.0,4638.0
14.7,10.0,19.4,0.8,4638.0
15.5,12.1,20.2,0.0,4286.0
15.1,9.7,21.6,0.0,3980.0
15.6,13.0,18.7,0.3,3792.0
15.3,11.3,20.5,0.5,3398.0
15.2,10.1,22.4,0.0,3243.0
15.1,9.4,22.6,0.0,3243.0
15.5,9.4,21.7,0.1,3243.0
12.9,8.0,18.6,0.0,3140.0
11.7,7.3,18.5,0.1,3104.0
11.7,6.0,19.8,0.0,3094.0
12.7,6.9,19.5,0.0,2974.0
14.4,9.6,21.5,0.0,3061.0
15.3,9.2,22.1,0.0,3061.0
12.8,7.6,19.4,1.9,3061.0
7.9,2.9,14.1,0.0,2809.0
8.8,1.0,17.5,0.0,2754.0
12.2,6.0,18.5,0.0,2643.0
13.4,9.0,19.3,0.1,2680.0
12.1,7.1,18.4,1.3,2587.0
8.1,3.6,13.8,1.3,2587.0
7.6,1.4,15.7,0.0,2587.0
9.6,2.6,18.0,0.0,2640.0
13.5,6.4,19.8,0.1,2625.0
14.1,7.5,19.6,0.0,2624.0
9.2,2.8,17.6,0.0,2576.0
11.5,4.3,19.4,2.0,2597.0
6.7,1.7,12.1,0.0,2597.0
5.6,-0.6,13.6,0.0,2597.0
8.2,1.2,14.4,0.4,2621.0
9.2,4.1,14.4,0.0,2646.0
5.5,1.2,10.3,0.0,2591.0
3.1,-1.6,9.3,0.0,2414.0
5.1,-2.0,10.4,0.2,2384.0
2.0,-2.1,7.6,0.0,2384.0
0.8,-4.1,5.5,0.0,2384.0
3.1,-1.5,8.3,0.0,2445.0
2.9,-2.7,10.2,0.0,2461.0
5.3,0.1,10.7,0.5,2434.0
2.3,-2.0,6.7,0.6,2599.0
1.9,-2.1,6.5,1.3,2622.0
4.0,-3.4,10.4,3.3,2622.0
6.3,0.8,12.4,1.3,2622.0
3.9,-1.8,11.6,0.0,2686.0
7.3,0.7,14.4,0.0,2708.0
7.5,3.1,12.2,0.0,2727.0
2.1,-1.9,6.6,0.0,2727.0
-0.6,-5.2,4.8,0.0,2727.0
1.3,-4.9,8.1,0.0,2727.0
4.4,-1.7,11.0,0.5,2727.0
2.2,-2.6,6.9,0.2,2677.0
-2.3,-6.0,1.9,0.2,2670.0
0.6,-5.2,6.7,0.9,2657.0
2.6,-1.9,7.6,0.9,2653.0
-1.3,-4.3,2.4,0.2,2688.0
0.7,-4.5,6.2,0.0,2688.0
3.5,-1.1,8.9,2.2,2688.0
-3.0,-6.7,1.7,0.2,2637.0
-6.0,-9.7,-1.7,0.0,2637.0
-5.2,-9.6,0.4,0.0,2637.0
-4.0,-10.5,2.8,0.0,2635.0
-0.8,-7.2,4.7,0.0,2635.0
-1.7,-5.6,2.1,0.2,2635.0
-4.4,-9.0,0.3,0.1,2635.0
-0.2,-7.3,5.7,0.3,2743.0
-1.3,-5.9,3.4,0.1,2765.0
-1.5,-7.8,4.7,0.7,2788.0
-0.1,-4.8,5.8,0.0,2788.0
1.7,-4.3,8.5,0.0,2800.0
3.9,-1.1,11.0,0.0,2800.0
4.3,1.3,8.1,14.2,2800.0
0.2,-2.7,3.5,0.0,2800.0
-0.6,-4.9,4.1,0.1,2823.0
-3.9,-8.0,0.7,0.0,2865.0
-1.5,-6.9,3.7,0.0,2884.0
2.9,-2.1,8.0,0.0,2901.0
2.9,-1.6,7.1,0.6,2901.0
2.1,-2.0,5.8,0.4,2901.0
-0.4,-4.9,5.2,0.0,2901.0
0.2,-5.3,5.8,0.0,2905.0
-1.6,-5.3,2.8,0.0,2927.0
-1.7,-5.6,2.3,0.0,2940.0
-0.1,-3.4,4.7,0.0,2960.0
-0.7,-5.4,5.5,0.0,2960.0
-0.3,-6.5,4.4,0.5,2960.0
2.3,0.1,4.8,2.4,3024.0
-1.3,-3.4,1.5,1.4,2967.0
-4.5,-8.1,-0.7,2.2,2952.0
-8.2,-11.3,-4.3,0.8,2961.0
-8.5,-13.4,-3.7,0.0,2981.0
-3.1,-8.8,3.1,0.1,2981.0
-0.3,-7.0,6.7,0.0,2981.0
4.4,-0.9,10.8,0.0,3053.0
3.8,-0.8,8.2,7.0,3071.0
4.3,1.7,7.8,5.0,3076.0
3.7,0.1,7.8,0.0,3055.0
1.3,-3.0,7.3,0.0,3069.0
1.2,-4.1,7.7,0.0,3069.0
1.2,-3.9,7.5,0.0,3069.0
2.9,-0.6,7.6,1.2,3083.0
-6.4,-10.0,0.7,0.0,3179.0
-10.4,-13.4,-6.5,0.0,3155.0
-9.9,-13.9,-5.1,0.0,3115.0
-10.4,-14.2,-5.4,0.0,3115.0
-7.0,-14.6,0.4,0.0,3115.0
-2.7,-5.8,1.8,0.0,3115.0
-5.9,-9.3,-1.7,0.1,3176.0
-4.6,-11.3,1.4,0.1,3363.0
-1.0,-6.0,3.9,0.0,3471.0
-2.1,-7.7,4.4,0.0,3749.0
-2.4,-8.3,4.4,0.0,3837.0
-4.5,-8.1,-0.8,0.3,3837.0
-7.1,-10.6,-3.1,0.2,3837.0
-7.4,-11.8,-2.6,0.1,4052.0
-8.0,-12.3,-3.5,0.1,4261.0
-6.7,-13.3,0.0,0.0,4181.0
-3.6,-11.0,4.6,0.0,4307.0
1.4,-6.2,8.6,0.0,4307.0
1.5,-4.0,7.0,0.0,4307.0
-3.6,-7.2,0.1,0.7,4307.0
-4.1,-8.9,-0.1,0.4,4576.0
-0.7,-7.2,5.1,0.1,4512.0
4.7,-3.3,11.9,0.0,4479.0
1.9,-2.7,7.5,0.0,4479.0
1.0,-5.1,7.6,0.0,4479.0
-0.2,-4.4,4.6,0.0,4479.0
0.8,-4.2,6.8,0.0,4479.0
2.8,-2.5,9.2,0.0,4527.0
2.7,-3.9,9.1,0.0,4359.0
0.5,-3.8,5.4,0.0,4301.0
0.6,-6.2,7.3,0.1,4302.0
4.4,-2.7,10.3,1.0,4306.0
4.6,-0.4,10.8,0.1,4306.0
3.8,-0.8,10.5,0.0,4306.0
3.1,-4.2,11.7,0.0,4241.0
5.1,-2.7,12.5,0.0,4277.0
5.6,2.4,9.1,29.2,4280.0
2.8,-1.7,6.6,0.9,4280.0
1.3,-5.0,8.9,0.0,4283.0
7.6,-1.4,16.6,0.0,4283.0
11.8,5.9,17.4,16.0,4283.0
5.7,2.3,11.6,12.1,4303.0
4.7,-0.7,11.1,0.0,4311.0
5.1,1.4,9.1,5.1,4295.0
3.3,1.0,6.3,16.7,4269.0
3.5,0.2,7.7,0.1,4322.0
4.8,-1.1,11.4,0.0,4322.0
6.4,0.7,13.8,0.0,4322.0
7.9,-0.4,16.9,0.0,4347.0
12.3,3.3,20.2,0.0,4314.0
15.2,8.0,22.5,0.0,4281.0
12.8,7.9,16.4,23.9,4297.0
5.2,1.5,10.1,0.7,4289.0
5.4,-1.1,12.6,0.0,4289.0
8.0,1.9,13.0,6.0,4289.0
8.5,5.6,11.4,19.9,4260.0
5.3,1.9,8.7,0.6,4254.0
1.8,0.3,3.7,8.6,4273.0
5.0,0.3,11.4,0.0,4273.0
6.2,-0.7,13.5,0.0,4241.0
9.1,2.1,15.9,0.0,4241.0
10.8,3.9,18.7,0.0,4241.0
12.0,4.7,20.3,0.0,4251.0
13.7,5.5,21.6,0.0,4290.0
15.0,7.5,22.1,0.0,4307.0
14.5,8.8,21.6,0.0,4291.0
12.7,7.5,19.3,0.0,4299.0
14.0,6.3,22.0,0.0,4299.0
15.8,9.7,21.7,0.0,4299.0
17.8,11.5,24.6,0.0,4321.0
18.0,11.7,24.5,0.1,4306.0
11.5,8.4,16.6,14.9,4306.0
8.5,7.5,9.9,12.6,4333.0
7.9,3.9,12.9,16.9,4333.0
5.0,2.1,9.1,0.3,4333.0
7.2,0.0,12.6,0.8,4333.0
10.7,4.8,17.6,0.0,4321.0
15.1,4.8,22.3,1.7,4317.0
15.5,9.8,21.0,2.3,4317.0
13.2,5.2,21.2,0.0,4334.0
12.8,6.1,18.2,0.0,4309.0
9.5,7.5,13.0,22.9,4309.0
10.5,6.5,16.0,0.0,4309.0
10.9,3.9,17.7,0.0,4270.0
12.6,6.4,19.8,0.0,4270.0
13.2,5.5,21.2,0.0,4284.0
15.1,5.7,23.8,0.0,4259.0
17.7,8.7,27.5,0.0,4292.0
18.8,10.0,28.0,0.0,4292.0
15.7,11.5,21.2,4.7,4292.0
11.2,10.2,13.5,45.9,4282.0
11.6,9.0,14.1,10.5,4360.0
13.0,5.5,21.0,0.1,4379.0
14.6,6.2,22.7,0.0,4299.0
14.9,8.3,22.1,0.0,4299.0
15.9,7.8,24.2,0.0,4299.0
16.5,8.3,24.6,0.0,4299.0
18.8,12.4,25.5,0.0,4309.0
18.6,14.0,23.3,0.5,4309.0
14.9,10.5,19.2,12.9,4240.0
12.0,7.9,17.1,0.9,4240.0
14.5,7.1,21.0,0.0,4240.0
18.1,9.5,25.1,0.0,4240.0
15.9,14.2,18.7,19.5,4240.0
16.4,13.2,21.0,12.0,4240.0
15.1,11.6,19.2,0.5,3457.0
13.6,9.2,18.9,0.0,3417.0
15.2,9.3,22.0,0.0,3399.0
16.9,10.1,23.8,0.0,3345.0
16.0,13.5,18.7,16.7,3345.0
17.3,13.6,22.4,3.3,3345.0
19.3,12.3,26.9,0.0,3312.0
22.5,15.0,29.5,0.0,3252.0
22.9,20.5,25.5,5.9,3215.0
22.8,19.5,26.8,17.3,3018.0
17.5,13.4,21.7,9.5,3024.0
15.7,10.9,20.9,0.1,3024.0
15.7,9.5,21.7,0.0,3024.0
16.2,10.6,21.8,0.0,2807.0
17.5,12.1,23.7,6.6,2807.0
18.1,12.6,23.9,13.5,2789.0
18.9,9.8,26.7,0.0,2866.0
19.8,12.4,27.0,0.0,2851.0
20.0,12.4,27.8,0.0,2851.0
19.5,14.5,25.1,0.0,2851.0
20.4,15.1,26.2,0.6,2797.0
21.4,16.9,26.9,1.5,2797.0
20.7,16.7,25.8,2.2,2797.0
19.7,14.3,25.9,0.0,2685.0
22.1,14.4,29.9,0.0,2688.0
23.1,15.6,31.1,0.0,2688.0
22.6,15.7,30.3,0.0,2688.0
22.3,16.1,28.5,0.0,2653.0
21.6,17.9,26.4,1.4,2611.0
22.4,16.9,29.0,0.0,2611.0
23.2,17.6,30.0,0.0,2691.0
22.4,17.9,27.8,0.0,2691.0
21.2,17.2,26.0,1.1,2691.0
19.7,17.2,23.3,1.2,2691.0
18.5,16.5,21.7,7.0,2676.0
19.5,16.0,24.5,0.9,2679.0
20.4,16.3,25.4,0.0,2679.0
20.5,17.6,24.8,1.6,2707.0
19.9,16.3,24.6,0.6,2708.0
19.7,14.8,25.7,0.0,2708.0
20.8,14.6,27.0,0.0,2708.0
